"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1994 - Stemmeberettigede";"EV1994 - Afgivne stemmer";"EV1994 - Blanke stemmer";"EV1994 - Andre ugyldige stemmer";"EV1994 - Gyldige stemmer";"EV1994 - A. Socialdemokratiet";"EV1994 - B. Det Radikale Venstre";"EV1994 - C. Det Konservative Folkeparti";"EV1994 - D. Centrum-Demokraterne";"EV1994 - F. Socialistisk Folkeparti";"EV1994 - J. JuniBevægelsen";"EV1994 - N. Folkebevægelsen mod EF-Unionen";"EV1994 - Q. Kristeligt Folkeparti";"EV1994 - V. Venstre, Danmarks Liberale Parti";"EV1994 - Z. Fremskridtspartiet"
"341006";"341006";"36";"7";"2";"1413";"619";"5";"1";"613";"134";"75";"54";"2";"51";"125";"59";"2";"96";"15"
"341007";"341007";"36";"7";"2";"458";"264";"8";"1";"255";"49";"16";"20";"6";"21";"40";"28";"4";"66";"5"
"341008";"341008";"36";"7";"2";"467";"235";"2";"1";"232";"19";"22";"29";"1";"7";"32";"30";"2";"81";"9"
"343001";"343001";"37";"7";"2";"1185";"649";"10";"0";"639";"83";"81";"82";"5";"43";"109";"71";"1";"139";"25"
"343002";"343002";"37";"7";"2";"2563";"1298";"21";"4";"1273";"183";"163";"194";"10";"101";"209";"134";"0";"225";"54"
"343003";"343003";"37";"7";"2";"527";"284";"7";"1";"276";"26";"29";"39";"2";"17";"43";"26";"1";"62";"31"
"343004";"343004";"37";"7";"2";"881";"423";"7";"5";"411";"49";"68";"53";"2";"33";"74";"49";"1";"70";"12"
"343005";"343005";"37";"7";"2";"1054";"519";"11";"1";"507";"78";"48";"60";"5";"42";"98";"76";"1";"74";"25"
"343006";"343006";"37";"7";"2";"2238";"1166";"12";"4";"1150";"154";"156";"164";"14";"80";"177";"126";"4";"238";"37"
"345001";"345001";"36";"7";"2";"3058";"1727";"32";"7";"1688";"246";"231";"218";"11";"157";"258";"164";"13";"345";"45"
"345003";"345003";"36";"7";"2";"1421";"795";"16";"0";"779";"90";"100";"100";"5";"68";"110";"113";"4";"176";"13"
"345004";"345004";"36";"7";"2";"1434";"732";"4";"4";"724";"108";"99";"105";"7";"48";"121";"76";"5";"140";"15"
"345005";"345005";"36";"7";"2";"1072";"619";"17";"4";"598";"86";"87";"70";"5";"32";"106";"53";"6";"139";"14"
"351002";"351002";"42";"8";"2";"3512";"1719";"32";"5";"1682";"481";"126";"235";"14";"92";"217";"152";"6";"315";"44"
"351003";"351003";"42";"8";"2";"2350";"1190";"22";"8";"1160";"245";"95";"200";"6";"82";"181";"128";"4";"175";"44"
"351004";"351004";"42";"8";"2";"591";"313";"5";"0";"308";"47";"20";"31";"3";"21";"64";"59";"1";"55";"7"
"351006";"351006";"42";"8";"2";"1970";"1036";"27";"5";"1004";"172";"80";"167";"17";"69";"136";"117";"3";"222";"21"
"351008";"351008";"42";"8";"2";"568";"309";"3";"1";"305";"52";"16";"39";"1";"18";"50";"44";"3";"76";"6"
"353001";"353001";"42";"8";"2";"816";"509";"3";"0";"506";"98";"35";"61";"8";"30";"70";"52";"2";"133";"17"
"353002";"353002";"42";"8";"2";"1584";"887";"15";"2";"870";"209";"50";"155";"6";"39";"106";"64";"7";"205";"29"
"353003";"353003";"42";"8";"2";"1825";"1010";"15";"0";"995";"190";"60";"161";"9";"51";"159";"87";"5";"240";"33"
"353004";"353004";"42";"8";"2";"1277";"703";"9";"2";"692";"126";"48";"84";"4";"40";"102";"55";"5";"212";"16"
"355001";"355001";"46";"8";"2";"836";"477";"5";"1";"471";"150";"21";"51";"2";"17";"60";"56";"2";"100";"12"
"355002";"355002";"46";"8";"2";"654";"347";"5";"1";"341";"135";"19";"30";"1";"12";"49";"29";"1";"56";"9"
"355003";"355003";"46";"8";"2";"1627";"921";"28";"4";"889";"419";"44";"98";"4";"44";"101";"59";"0";"93";"27"
"355004";"355004";"46";"8";"2";"262";"148";"4";"0";"144";"59";"14";"10";"2";"3";"18";"7";"0";"26";"5"
"357001";"357001";"43";"8";"2";"2850";"1593";"21";"2";"1570";"600";"119";"188";"15";"91";"168";"113";"6";"236";"34"
"357002";"357002";"43";"8";"2";"1013";"573";"8";"3";"562";"187";"37";"46";"4";"30";"85";"34";"2";"114";"23"
"357003";"357003";"43";"8";"2";"1102";"654";"14";"2";"638";"171";"35";"75";"8";"31";"82";"54";"10";"157";"15"
"359001";"359001";"45";"8";"2";"495";"309";"6";"2";"301";"97";"10";"39";"3";"14";"40";"23";"0";"64";"11"
"359002";"359002";"45";"8";"2";"328";"219";"7";"1";"211";"79";"5";"29";"1";"8";"18";"17";"1";"47";"6"
"359003";"359003";"45";"8";"2";"631";"352";"7";"4";"341";"95";"14";"55";"6";"9";"43";"21";"1";"78";"19"
"359006";"359006";"45";"8";"2";"444";"262";"2";"1";"259";"82";"17";"34";"1";"13";"40";"28";"0";"40";"4"
"359102";"359102";"45";"8";"2";"733";"385";"4";"1";"380";"146";"24";"53";"3";"17";"42";"24";"0";"59";"12"
"359107";"359107";"45";"8";"2";"734";"421";"8";"0";"413";"166";"18";"59";"0";"23";"50";"32";"0";"59";"6"
"361001";"361001";"44";"8";"2";"1405";"847";"12";"4";"831";"210";"55";"132";"7";"49";"138";"84";"4";"125";"27"
"361002";"361002";"44";"8";"2";"503";"280";"6";"2";"272";"76";"21";"42";"3";"16";"46";"30";"0";"32";"6"
"361003";"361003";"44";"8";"2";"1273";"787";"15";"3";"769";"250";"62";"125";"2";"39";"92";"62";"0";"124";"13"
"361004";"361004";"44";"8";"2";"835";"480";"15";"2";"463";"148";"33";"62";"3";"28";"55";"32";"2";"86";"14"
"361005";"361005";"44";"8";"2";"281";"184";"3";"2";"179";"24";"15";"11";"1";"7";"30";"21";"0";"61";"9"
"361006";"361006";"44";"8";"2";"470";"270";"3";"1";"266";"52";"15";"29";"1";"13";"38";"24";"0";"81";"13"
"363001";"363001";"46";"8";"2";"4786";"2664";"56";"6";"2602";"978";"172";"425";"17";"125";"312";"234";"6";"284";"49"
"363002";"363002";"46";"8";"2";"57";"48";"3";"0";"45";"7";"1";"2";"0";"1";"3";"12";"4";"11";"4"
"363003";"363003";"46";"8";"2";"910";"473";"9";"1";"463";"162";"31";"54";"3";"25";"60";"44";"0";"73";"11"
"363004";"363004";"46";"8";"2";"409";"248";"6";"1";"241";"72";"7";"39";"0";"13";"30";"19";"7";"50";"4"
"363005";"363005";"46";"8";"2";"865";"511";"13";"0";"498";"221";"33";"50";"1";"26";"50";"48";"2";"57";"10"
"363007";"363007";"46";"8";"2";"901";"538";"7";"2";"529";"151";"26";"76";"3";"30";"75";"48";"1";"111";"8"
"363106";"363106";"46";"8";"2";"769";"457";"13";"1";"443";"153";"24";"43";"4";"18";"61";"35";"1";"93";"11"
"363107";"363107";"46";"8";"2";"376";"199";"2";"1";"196";"58";"5";"23";"2";"7";"30";"26";"2";"36";"7"
"365001";"365001";"44";"8";"2";"2643";"1482";"40";"7";"1435";"343";"152";"245";"7";"72";"161";"139";"3";"274";"39"
"365002";"365002";"44";"8";"2";"737";"491";"7";"0";"484";"76";"39";"71";"4";"36";"90";"70";"2";"80";"16"
"365003";"365003";"44";"8";"2";"1155";"629";"7";"3";"619";"108";"57";"66";"2";"42";"88";"80";"0";"142";"34"
"365004";"365004";"44";"8";"2";"829";"448";"10";"0";"438";"80";"42";"41";"4";"20";"43";"52";"0";"148";"8"
"365005";"365005";"44";"8";"2";"886";"505";"9";"1";"495";"65";"48";"69";"3";"31";"64";"44";"2";"151";"18"
"365006";"365006";"44";"8";"2";"1601";"912";"26";"1";"885";"268";"79";"101";"3";"41";"119";"82";"0";"169";"23"
"365007";"365007";"44";"8";"2";"1208";"751";"12";"0";"739";"112";"54";"83";"4";"62";"118";"110";"3";"168";"25"
"367001";"367001";"45";"8";"2";"2813";"1462";"22";"6";"1434";"650";"68";"199";"8";"101";"152";"131";"5";"101";"19"
"367002";"367002";"45";"8";"2";"3382";"1731";"18";"4";"1709";"963";"48";"135";"11";"94";"180";"146";"7";"101";"24"
"367003";"367003";"45";"8";"2";"3262";"1904";"42";"7";"1855";"1004";"69";"179";"5";"112";"202";"134";"4";"126";"20"
"367004";"367004";"45";"8";"2";"1695";"1013";"13";"2";"998";"546";"32";"103";"2";"58";"103";"70";"1";"69";"14"
"367005";"367005";"45";"8";"2";"868";"476";"11";"1";"464";"266";"18";"29";"1";"27";"52";"39";"1";"20";"11"
"367006";"367006";"45";"8";"2";"398";"229";"3";"1";"225";"115";"9";"15";"1";"7";"21";"19";"0";"30";"8"
"369001";"369001";"47";"8";"2";"2191";"1099";"19";"11";"1069";"227";"98";"229";"6";"69";"154";"114";"12";"132";"28"
"369002";"369002";"47";"8";"2";"3257";"1663";"25";"8";"1630";"536";"102";"233";"16";"116";"273";"158";"10";"151";"35"
"369003";"369003";"47";"8";"2";"3486";"1756";"34";"3";"1719";"576";"137";"284";"13";"70";"249";"141";"26";"189";"34"
"369004";"369004";"47";"8";"2";"2025";"982";"26";"11";"945";"261";"63";"162";"12";"65";"146";"100";"7";"114";"15"
"369005";"369005";"47";"8";"2";"2225";"1285";"21";"3";"1261";"367";"104";"225";"10";"81";"171";"127";"5";"139";"32"
"369006";"369006";"47";"8";"2";"649";"387";"9";"2";"376";"113";"22";"45";"2";"18";"54";"40";"3";"68";"11"
"369007";"369007";"47";"8";"2";"1256";"723";"11";"2";"710";"241";"41";"100";"6";"61";"90";"82";"5";"70";"14"
"369008";"369008";"47";"8";"2";"802";"444";"14";"1";"429";"113";"34";"67";"1";"14";"64";"30";"10";"87";"9"
"369009";"369009";"47";"8";"2";"984";"546";"14";"2";"530";"140";"35";"56";"4";"38";"74";"35";"4";"129";"15"
"369010";"369010";"47";"8";"2";"502";"259";"3";"5";"251";"107";"14";"24";"2";"13";"29";"18";"0";"32";"12"
"369011";"369011";"47";"8";"2";"2750";"1620";"25";"8";"1587";"407";"121";"308";"13";"85";"215";"110";"11";"280";"37"
"371001";"371001";"46";"8";"2";"1643";"912";"27";"3";"882";"231";"65";"151";"11";"40";"121";"82";"1";"153";"27"
"371002";"371002";"46";"8";"2";"1082";"661";"21";"4";"636";"186";"49";"85";"6";"25";"85";"42";"2";"142";"14"
"371003";"371003";"46";"8";"2";"790";"440";"11";"2";"427";"109";"41";"49";"4";"26";"42";"24";"0";"118";"14"
"371004";"371004";"46";"8";"2";"859";"492";"13";"3";"476";"122";"33";"59";"5";"23";"47";"36";"2";"125";"24"
"373020";"373020";"43";"8";"2";"2750";"1611";"20";"6";"1585";"672";"100";"248";"6";"71";"173";"76";"12";"209";"18"
"373021";"373021";"43";"8";"2";"2777";"1407";"21";"11";"1375";"383";"84";"270";"11";"73";"204";"103";"17";"208";"22"
"373022";"373022";"43";"8";"2";"4337";"2203";"39";"13";"2151";"773";"120";"269";"15";"119";"380";"198";"18";"215";"44"
"373023";"373023";"43";"8";"2";"4671";"2535";"23";"10";"2502";"835";"172";"394";"18";"173";"308";"205";"25";"325";"47"
"373024";"373024";"43";"8";"2";"3253";"1819";"17";"6";"1796";"691";"123";"197";"12";"100";"257";"141";"9";"219";"47"
"373025";"373025";"43";"8";"2";"2735";"1403";"19";"4";"1380";"546";"89";"149";"13";"85";"181";"104";"5";"179";"29"
"373026";"373026";"43";"8";"2";"2838";"1786";"16";"6";"1764";"474";"128";"387";"13";"80";"165";"120";"9";"361";"27"
"373027";"373027";"43";"8";"2";"2819";"1512";"12";"3";"1497";"494";"108";"259";"19";"81";"158";"77";"16";"248";"37"
"373028";"373028";"43";"8";"2";"3904";"1876";"17";"9";"1850";"701";"112";"247";"22";"76";"280";"155";"15";"196";"46"
"373029";"373029";"43";"8";"2";"644";"387";"3";"2";"382";"122";"18";"51";"1";"25";"55";"25";"1";"77";"7"
"373030";"373030";"43";"8";"2";"567";"381";"4";"0";"377";"70";"37";"70";"5";"19";"45";"25";"3";"96";"7"
"373031";"373031";"43";"8";"2";"622";"358";"6";"0";"352";"89";"16";"44";"6";"18";"57";"35";"2";"71";"14"
"373032";"373032";"43";"8";"2";"1660";"988";"14";"2";"972";"244";"70";"172";"5";"71";"137";"53";"7";"189";"24"
"373033";"373033";"43";"8";"2";"469";"251";"2";"0";"249";"50";"10";"27";"2";"25";"19";"14";"1";"91";"10"
"373034";"373034";"43";"8";"2";"408";"236";"5";"1";"230";"43";"16";"30";"1";"6";"31";"16";"0";"79";"8"
"373035";"373035";"43";"8";"2";"1505";"931";"12";"1";"918";"240";"75";"190";"16";"58";"97";"53";"5";"156";"28"
"375001";"375001";"47";"8";"2";"488";"277";"7";"2";"268";"55";"12";"39";"1";"24";"35";"24";"4";"70";"4"
"375002";"375002";"47";"8";"2";"1095";"565";"11";"2";"552";"117";"38";"85";"3";"24";"88";"60";"3";"109";"25"
"375003";"375003";"47";"8";"2";"2154";"1201";"32";"8";"1161";"335";"91";"172";"16";"70";"120";"87";"4";"248";"18"
"375005";"375005";"47";"8";"2";"475";"240";"3";"0";"237";"41";"21";"20";"2";"12";"42";"31";"0";"55";"13"
"375006";"375006";"47";"8";"2";"547";"291";"1";"0";"290";"62";"15";"21";"2";"10";"57";"30";"4";"76";"13"
"375007";"375007";"47";"8";"2";"365";"231";"11";"0";"220";"51";"20";"21";"2";"9";"20";"23";"2";"66";"6"
"375008";"375008";"47";"8";"2";"630";"349";"7";"2";"340";"106";"32";"53";"3";"18";"36";"18";"0";"54";"20"
"375009";"375009";"47";"8";"2";"694";"343";"6";"0";"337";"97";"21";"41";"4";"18";"47";"33";"4";"49";"23"
"375010";"375010";"47";"8";"2";"1049";"563";"14";"4";"545";"167";"44";"69";"4";"27";"86";"49";"2";"86";"11"
"377001";"377001";"42";"8";"2";"3449";"2019";"23";"10";"1986";"509";"130";"344";"14";"145";"251";"174";"2";"370";"47"
"377002";"377002";"42";"8";"2";"601";"347";"6";"4";"337";"66";"33";"42";"3";"34";"61";"32";"0";"60";"6"
"377003";"377003";"42";"8";"2";"645";"389";"7";"4";"378";"63";"22";"38";"1";"38";"57";"51";"2";"98";"8"
"377004";"377004";"42";"8";"2";"926";"486";"8";"2";"476";"96";"34";"73";"2";"20";"65";"42";"0";"128";"16"
"379001";"379001";"45";"8";"2";"604";"339";"8";"1";"330";"101";"19";"44";"0";"10";"55";"27";"0";"68";"6"
"379002";"379002";"45";"8";"2";"528";"275";"4";"1";"270";"56";"22";"56";"4";"14";"30";"22";"4";"51";"11"
"379003";"379003";"45";"8";"2";"178";"94";"1";"0";"93";"17";"6";"7";"2";"1";"8";"10";"0";"40";"2"
"379005";"379005";"45";"8";"2";"1530";"791";"17";"3";"771";"290";"45";"79";"3";"27";"91";"86";"2";"128";"20"
"379007";"379007";"45";"8";"2";"425";"235";"7";"1";"227";"87";"8";"27";"1";"13";"25";"13";"1";"41";"11"
"379008";"379008";"45";"8";"2";"764";"448";"4";"4";"440";"161";"22";"47";"2";"29";"54";"35";"0";"76";"14"
"379009";"379009";"45";"8";"2";"585";"328";"7";"0";"321";"131";"11";"30";"3";"18";"33";"27";"0";"57";"11"
"379010";"379010";"45";"8";"2";"239";"152";"5";"0";"147";"51";"5";"13";"1";"12";"15";"14";"0";"30";"6"
"381001";"381001";"45";"8";"2";"369";"221";"3";"1";"217";"66";"4";"23";"2";"13";"27";"19";"3";"54";"6"
"381002";"381002";"45";"8";"2";"365";"227";"3";"3";"221";"82";"10";"33";"1";"5";"29";"23";"1";"34";"3"
"381003";"381003";"45";"8";"2";"506";"288";"6";"1";"281";"97";"19";"27";"2";"15";"33";"19";"2";"55";"12"
"381004";"381004";"45";"8";"2";"544";"291";"7";"1";"283";"107";"7";"40";"0";"15";"27";"17";"0";"63";"7"
"381005";"381005";"45";"8";"2";"1116";"656";"9";"0";"647";"206";"28";"87";"2";"21";"78";"64";"3";"124";"34"
"383001";"383001";"46";"8";"2";"2665";"1377";"32";"7";"1338";"453";"74";"209";"13";"70";"151";"91";"4";"239";"34"
"383002";"383002";"46";"8";"2";"1802";"877";"21";"3";"853";"316";"47";"78";"5";"56";"149";"96";"1";"77";"28"
"383003";"383003";"46";"8";"2";"1012";"608";"16";"2";"590";"169";"23";"78";"3";"22";"68";"51";"4";"162";"10"
"385001";"385001";"42";"8";"2";"2485";"1402";"25";"2";"1375";"218";"117";"201";"15";"71";"246";"129";"5";"340";"33"
"385002";"385002";"42";"8";"2";"2588";"1411";"24";"11";"1376";"262";"108";"219";"10";"69";"195";"133";"6";"338";"36"
"387001";"387001";"46";"8";"2";"3959";"2192";"50";"10";"2132";"850";"129";"336";"12";"122";"232";"170";"2";"230";"49"
"387002";"387002";"46";"8";"2";"913";"486";"13";"1";"472";"130";"22";"89";"3";"21";"69";"39";"4";"77";"18"
"387003";"387003";"46";"8";"2";"691";"397";"7";"1";"389";"114";"23";"45";"6";"13";"52";"28";"0";"98";"10"
"387005";"387005";"46";"8";"2";"590";"347";"8";"2";"337";"103";"16";"42";"0";"24";"29";"25";"0";"96";"2"
"387006";"387006";"46";"8";"2";"585";"318";"7";"1";"310";"72";"27";"43";"0";"9";"44";"26";"0";"80";"9"
"387007";"387007";"46";"8";"2";"619";"348";"6";"0";"342";"84";"23";"63";"1";"11";"44";"25";"1";"83";"7"
"389001";"389001";"42";"8";"2";"3693";"2141";"32";"6";"2103";"465";"157";"426";"25";"129";"278";"193";"9";"374";"47"
"389002";"389002";"42";"8";"2";"1881";"1124";"15";"4";"1105";"204";"75";"223";"6";"77";"185";"105";"3";"194";"33"
"389003";"389003";"42";"8";"2";"910";"533";"2";"1";"530";"79";"28";"81";"4";"38";"63";"56";"2";"156";"23"
"389004";"389004";"42";"8";"2";"990";"533";"5";"0";"528";"101";"36";"104";"1";"45";"73";"58";"0";"99";"11"
"389005";"389005";"42";"8";"2";"911";"537";"5";"0";"532";"64";"51";"55";"1";"46";"91";"70";"2";"125";"27"
"391001";"391001";"47";"8";"2";"2772";"1574";"35";"2";"1537";"445";"80";"192";"8";"69";"239";"156";"3";"288";"57"
"391004";"391004";"47";"8";"2";"1008";"581";"11";"1";"569";"138";"44";"57";"1";"35";"96";"52";"7";"125";"14"
"391005";"391005";"47";"8";"2";"1630";"961";"27";"1";"933";"232";"57";"97";"7";"65";"126";"90";"1";"236";"22"
"393001";"393001";"43";"8";"2";"2107";"1223";"23";"2";"1198";"324";"93";"135";"23";"69";"183";"103";"4";"228";"36"
"393002";"393002";"43";"8";"2";"442";"239";"6";"0";"233";"42";"19";"25";"2";"10";"28";"21";"4";"72";"10"
"393003";"393003";"43";"8";"2";"511";"284";"5";"0";"279";"51";"14";"41";"1";"11";"46";"26";"1";"75";"13"
"393004";"393004";"43";"8";"2";"2269";"1170";"19";"1";"1150";"370";"84";"141";"10";"55";"151";"82";"3";"229";"25"
"393005";"393005";"43";"8";"2";"738";"410";"3";"0";"407";"76";"24";"45";"1";"35";"76";"37";"1";"105";"7"
"395001";"395001";"47";"8";"2";"1616";"858";"22";"1";"835";"196";"76";"128";"5";"50";"92";"68";"2";"196";"22"
"395002";"395002";"47";"8";"2";"2258";"1347";"18";"3";"1326";"280";"115";"279";"6";"60";"163";"102";"13";"271";"37"
"395003";"395003";"47";"8";"2";"355";"216";"2";"0";"214";"55";"5";"27";"1";"5";"32";"22";"0";"61";"6"
"395004";"395004";"47";"8";"2";"1121";"590";"7";"3";"580";"161";"30";"72";"4";"30";"129";"70";"2";"64";"18"
"397001";"397001";"44";"8";"2";"4302";"2399";"42";"9";"2348";"586";"211";"420";"31";"149";"275";"256";"18";"340";"62"
"397002";"397002";"44";"8";"2";"3046";"1677";"31";"6";"1640";"564";"119";"174";"13";"97";"225";"214";"8";"184";"42"
"397003";"397003";"44";"8";"2";"1918";"1120";"13";"3";"1104";"226";"125";"170";"16";"78";"134";"106";"3";"224";"22"
"397004";"397004";"44";"8";"2";"2006";"1041";"14";"2";"1025";"291";"94";"137";"11";"50";"122";"118";"7";"173";"22"
"397005";"397005";"44";"8";"2";"726";"404";"8";"3";"393";"87";"21";"74";"6";"29";"57";"44";"3";"56";"16"
"397006";"397006";"44";"8";"2";"985";"505";"6";"2";"497";"110";"25";"74";"4";"29";"79";"51";"0";"108";"17"
"397007";"397007";"44";"8";"2";"172";"93";"2";"0";"91";"13";"4";"21";"1";"4";"16";"3";"0";"25";"4"
"397008";"397008";"44";"8";"2";"755";"378";"12";"1";"365";"86";"24";"25";"3";"23";"59";"43";"1";"81";"20"
"397009";"397009";"44";"8";"2";"1566";"835";"23";"1";"811";"241";"72";"95";"6";"30";"94";"81";"1";"173";"18"
"397010";"397010";"44";"8";"2";"264";"132";"3";"0";"129";"29";"4";"17";"0";"5";"17";"10";"0";"45";"2"
"401001";"401001";"49";"9";"2";"1576";"863";"24";"2";"837";"159";"55";"88";"5";"44";"158";"96";"19";"178";"35"
"401002";"401002";"49";"9";"2";"1292";"656";"28";"3";"625";"73";"39";"65";"1";"21";"95";"92";"32";"193";"14"
"401003";"401003";"49";"9";"2";"420";"248";"2";"1";"245";"38";"4";"27";"0";"7";"42";"29";"2";"87";"9"
"401004";"401004";"49";"9";"2";"728";"429";"3";"1";"425";"50";"21";"40";"1";"14";"56";"32";"28";"162";"21"
"401005";"401005";"49";"9";"2";"686";"391";"5";"1";"385";"47";"17";"46";"2";"26";"90";"39";"11";"95";"12"
"401006";"401006";"49";"9";"2";"1341";"772";"15";"3";"754";"90";"37";"54";"9";"31";"95";"75";"63";"265";"35"
"403001";"403001";"48";"9";"2";"1548";"794";"41";"3";"750";"198";"40";"79";"4";"30";"102";"54";"32";"188";"23"
"403002";"403002";"48";"9";"2";"1453";"836";"24";"7";"805";"110";"60";"72";"5";"34";"86";"66";"36";"297";"39"
"403003";"403003";"48";"9";"2";"1374";"807";"19";"2";"786";"174";"56";"79";"2";"45";"92";"46";"45";"221";"26"
"403005";"403005";"48";"9";"2";"576";"348";"9";"2";"337";"59";"21";"32";"3";"15";"50";"26";"10";"115";"6"
"405001";"405001";"49";"9";"2";"2940";"1361";"32";"3";"1326";"267";"86";"112";"15";"47";"231";"84";"63";"384";"37"
"405002";"405002";"49";"9";"2";"1132";"686";"9";"3";"674";"99";"44";"77";"3";"45";"136";"82";"18";"152";"18"
"405003";"405003";"49";"9";"2";"829";"461";"8";"1";"452";"56";"29";"40";"2";"21";"74";"47";"18";"159";"6"
"405004";"405004";"49";"9";"2";"789";"432";"5";"2";"425";"60";"27";"46";"0";"20";"71";"34";"17";"130";"20"
"405005";"405005";"49";"9";"2";"923";"497";"4";"2";"491";"63";"31";"52";"4";"24";"74";"36";"14";"169";"24"
"407001";"407001";"48";"9";"2";"11955";"5897";"137";"19";"5741";"1436";"374";"623";"44";"354";"878";"510";"198";"1195";"129"
"409001";"409001";"49";"9";"2";"2695";"1465";"31";"9";"1425";"238";"71";"131";"13";"65";"167";"130";"107";"449";"54"
"409003";"409003";"49";"9";"2";"787";"466";"6";"2";"458";"115";"24";"61";"0";"19";"50";"30";"9";"134";"16"
"409004";"409004";"49";"9";"2";"567";"323";"5";"1";"317";"53";"15";"15";"0";"13";"39";"23";"21";"127";"11"
"409005";"409005";"49";"9";"2";"1116";"644";"19";"3";"622";"119";"27";"64";"1";"29";"74";"33";"29";"216";"30"
"411001";"411001";"49";"9";"2";"81";"72";"1";"1";"70";"5";"5";"5";"1";"5";"28";"10";"0";"9";"2"
"421001";"421001";"54";"10";"2";"5311";"2659";"44";"7";"2608";"571";"212";"433";"13";"182";"413";"189";"7";"484";"104"
"421002";"421002";"54";"10";"2";"1391";"718";"7";"3";"708";"143";"57";"120";"5";"51";"92";"45";"3";"171";"21"
"421003";"421003";"54";"10";"2";"728";"409";"6";"1";"402";"60";"36";"50";"3";"28";"58";"31";"2";"110";"24"
"421004";"421004";"54";"10";"2";"746";"383";"1";"1";"381";"64";"27";"50";"2";"24";"40";"34";"0";"125";"15"
"421005";"421005";"54";"10";"2";"209";"139";"2";"1";"136";"13";"9";"9";"1";"8";"23";"10";"2";"59";"2"
"421006";"421006";"54";"10";"2";"31";"22";"0";"0";"22";"1";"2";"3";"0";"2";"0";"0";"0";"13";"1"
"423001";"423001";"55";"10";"2";"2621";"1480";"34";"4";"1442";"325";"128";"283";"16";"98";"208";"118";"7";"233";"26"
"423002";"423002";"55";"10";"2";"290";"143";"2";"0";"141";"15";"10";"28";"0";"12";"21";"5";"1";"43";"6"
"423003";"423003";"55";"10";"2";"378";"203";"2";"2";"199";"28";"15";"26";"2";"14";"22";"17";"0";"62";"13"
"423004";"423004";"55";"10";"2";"344";"228";"3";"0";"225";"16";"23";"20";"0";"8";"25";"14";"1";"116";"2"
"423005";"423005";"55";"10";"2";"461";"253";"8";"1";"244";"21";"24";"54";"1";"13";"38";"19";"0";"64";"10"
"423006";"423006";"55";"10";"2";"698";"350";"6";"3";"341";"58";"37";"49";"1";"11";"50";"34";"0";"78";"23"
"425001";"425001";"58";"10";"2";"1617";"854";"19";"0";"835";"144";"79";"132";"4";"52";"92";"70";"1";"240";"21"
"425002";"425002";"58";"10";"2";"1277";"680";"12";"0";"668";"123";"48";"91";"4";"49";"122";"48";"0";"165";"18"
"425003";"425003";"58";"10";"2";"1090";"603";"12";"0";"591";"95";"54";"113";"4";"41";"67";"44";"1";"156";"16"
"425004";"425004";"58";"10";"2";"899";"481";"6";"0";"475";"51";"38";"48";"0";"30";"75";"40";"1";"168";"24"
"427001";"427001";"56";"10";"2";"454";"233";"6";"0";"227";"24";"24";"24";"1";"11";"36";"20";"3";"77";"7"
"427002";"427002";"56";"10";"2";"1109";"626";"6";"3";"617";"118";"41";"82";"0";"56";"102";"75";"1";"120";"22"
"427003";"427003";"56";"10";"2";"356";"187";"1";"0";"186";"27";"16";"24";"2";"5";"28";"17";"3";"61";"3"
"427004";"427004";"56";"10";"2";"912";"560";"9";"2";"549";"48";"45";"68";"3";"57";"108";"91";"2";"117";"10"
"427005";"427005";"56";"10";"2";"1559";"782";"20";"2";"760";"187";"76";"108";"9";"46";"102";"68";"4";"145";"15"
"427006";"427006";"56";"10";"2";"770";"463";"13";"4";"446";"74";"28";"55";"3";"35";"85";"53";"2";"99";"12"
"427007";"427007";"56";"10";"2";"901";"538";"12";"1";"525";"85";"43";"65";"2";"39";"70";"46";"1";"160";"14"
"427008";"427008";"56";"10";"2";"603";"360";"8";"0";"352";"59";"32";"50";"1";"34";"51";"44";"1";"78";"2"
"429001";"429001";"54";"10";"2";"230";"130";"1";"1";"128";"16";"5";"19";"2";"11";"21";"15";"0";"31";"8"
"429002";"429002";"54";"10";"2";"1453";"744";"25";"2";"717";"153";"59";"141";"3";"31";"76";"51";"3";"177";"23"
"429003";"429003";"54";"10";"2";"318";"213";"4";"0";"209";"26";"18";"28";"0";"14";"30";"13";"4";"70";"6"
"429004";"429004";"54";"10";"2";"360";"217";"3";"3";"211";"38";"19";"35";"3";"16";"20";"18";"0";"56";"6"
"429005";"429005";"54";"10";"2";"189";"122";"4";"0";"118";"15";"10";"16";"1";"12";"13";"12";"0";"37";"2"
"429006";"429006";"54";"10";"2";"1775";"857";"19";"1";"837";"190";"105";"99";"9";"58";"125";"60";"5";"167";"19"
"429007";"429007";"54";"10";"2";"1590";"822";"29";"4";"789";"93";"96";"133";"7";"58";"108";"51";"7";"200";"36"
"429008";"429008";"54";"10";"2";"647";"348";"8";"2";"338";"42";"33";"62";"0";"19";"53";"23";"1";"91";"14"
"429009";"429009";"54";"10";"2";"682";"330";"6";"1";"323";"66";"46";"45";"2";"10";"46";"29";"1";"67";"11"
"429010";"429010";"54";"10";"2";"350";"235";"7";"1";"227";"16";"19";"17";"2";"10";"27";"18";"2";"102";"14"
"431001";"431001";"58";"10";"2";"95";"64";"1";"0";"63";"3";"1";"7";"0";"7";"10";"7";"1";"24";"3"
